Year,GDP growth (annual %),Gross capital formation (% of GDP),Population growth (annual %),"Birth rate, crude (per 1,000 people)",Broad money growth (annual %),Final consumption expenditure (annual % growth),General government final consumption expenditure (annual % growth),Gross capital formation (annual % growth),Households and NPISHs Final consumption expenditure (annual % growth),"Unemployment, total (% of total labor force) (national estimate)"
1969,14.54123499,29.9435769,2.263434039,30.663,60.98473251,10.69324881,10.64079933,29.90811804,10.70032515,4.860000134
1970,9.997406565,26.33819951,2.184173947,31.2,27.42286419,10.16153888,7.279573171,0.058667454,10.55730028,4.510000229
1971,10.45469327,25.55850057,1.971323658,31.2,20.84448118,9.330434064,8.610547189,15.17287003,9.426969352,4.570000172
1972,7.150714777,21.40476079,1.87599937,28.4,33.81502784,5.788457512,8.134824037,-13.05670097,5.471355259,4.590000153
1973,14.82755434,25.87285753,1.768292712,28.3,36.41562875,8.089952372,2.287728833,32.09827607,8.92729452,4.039999962
1974,9.460873462,32.53340778,1.71270542,26.6,24.03665204,7.323853407,7.288575886,31.49308261,7.328336538,4.150000095
1975,7.863511656,28.9592674,1.682000055,24.8,28.23163037,5.714445477,6.960465057,-1.493720449,5.539527479,4.179999828
1976,13.11515884,27.55599034,1.596558594,22.2,33.4846556,7.182713721,0.560956983,23.00608011,8.254930497,3.807600021
1977,12.27766122,30.63071333,1.559039386,22.7,39.70576344,5.701160809,7.468013445,31.48644987,5.401645287,3.805700064
1978,10.77449137,34.53249198,1.519196719,20.3,34.97102643,7.924074112,5.582315064,30.87305157,8.340376143,3.167299986
1979,8.625632389,38.13258677,1.516874868,23,24.58444902,8.252856084,6.17466625,18.09976037,8.604036535,3.812000036
1980,-1.70127653,34.45566779,1.558462678,22.6,26.89464498,1.60424113,11.7428065,-16.10865702,-0.092927407,5.196000099
1981,7.180510839,32.4456654,1.560203992,22.4,25.02495123,5.447428277,6.593000724,2.582205573,5.225406771,4.506999969
1982,8.265021265,32.20867204,1.545468533,21.6,27.01141394,6.523264635,2.140924625,10.22468577,7.383520758,4.362999916
1983,13.24206343,32.78249483,1.474218821,19.3,15.24266235,8.165829369,3.628645317,14.95720196,9.05276307,4.06799984
1984,10.44291111,32.24829042,1.234018311,16.7,7.705292454,7.092261621,4.824012664,9.357928386,7.533649836,3.801000118
1985,7.749645999,32.56594482,0.984565597,16.1,15.62298881,6.539060579,3.359906569,7.566110587,7.146908151,3.98300004
1986,11.22408642,32.42216728,0.994723868,15.4,18.44102624,8.448971662,5.24294267,15.19843136,9.072923536,3.809999943
1987,12.46726605,33.08974925,0.985133112,15,19.05378377,8.209373501,7.158110415,15.94887294,8.417888396,3.088000059
1988,11.90471861,34.70418551,0.979189224,15.1,21.49857682,9.102647583,8.525412003,17.40217569,9.219639213,2.519000053
1989,7.029710016,37.09622182,0.989093268,15.1,19.81645344,10.83441349,11.32496589,16.99451268,10.73175858,2.569000006
1990,9.811229684,39.61599759,0.985130494,15.2,17.17416986,10.06688825,11.06338577,15.59652803,9.848119764,2.453999996
1991,10.35395136,41.37406165,0.989785982,16.4,21.88742131,8.168924754,5.03105692,17.91204089,8.881063345,2.407000065
1992,6.175505687,38.48519801,1.039161356,16.7,14.94152543,6.777231975,6.436622671,0.106135913,6.853033286,2.513000011
1993,6.846743917,37.47954115,1.015821437,16,16.58073504,6.437389324,4.87105211,6.037813994,6.792663586,2.878000021
1994,9.206141515,38.5391289,1.006157245,16,18.67739093,7.95715465,3.358058793,15.12583053,8.973464995,2.476000071
